name,slug,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,appearance.height,appearance.weight,appearance.eyeColor,appearance.hairColor,appearance.gender,appearance.race,work.occupation,biography.fullName,biography.alterEgos,biography.firstAppearance,biography.aliases
King Shark,390-king-shark,50,88,50,90,86,40,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,No Hair,Male,Animal,Professional Criminal,Nanaue,No alter egos found.,Superboy Vol 4 #0,"[""-""]"
Kingpin,391-kingpin,75,18,25,40,13,70,"[""6'7"",""201 cm""]","[""450 lb"",""203 kg""]",Blue,No Hair,Male,Human,"Criminal organizer and mastermind, president and owner of legitimate businesses",Wilson Grant Fisk,No alter egos found.,"Amazing Spider-Man #50 (July, 1967)","[""The Brain Washer"",""Harold Howard"",""Wilbur""]"
Klaw,392-klaw,63,38,33,100,62,60,"[""6'2"",""188 cm""]","[""216 lb"",""97 kg""]",Red,No Hair,Male,Human,"Criminal, former Scientist",Ulysses Klaw,No alter egos found.,"Fantastic Four #53 (August, 1966)","[""-""]"
Kool-Aid Man,393-kool-aid-man,25,18,8,10,9,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,No Hair,Male,,-,,No alter egos found.,As Pitcher-Man in 1954,"[""Pitcher Man""]"
Kraven II,394-kraven-ii,50,34,23,28,43,85,"[""6'3"",""191 cm""]","[""220 lb"",""99 kg""]",Brown,Black,Male,Human,-,Alyosha Kravinoff,No alter egos found.,Spectacular Spider-Man #243 (1997),"[""-""]"
Kraven the Hunter,395-kraven-the-hunter,63,32,35,42,25,85,"[""6'0"",""183 cm""]","[""235 lb"",""106 kg""]",Brown,Black,Male,Human,"Professional game hunter, mercenary",Sergei Kravinoff,No alter egos found.,The Amazing Spider-Man #15 (1964),"[""Kraven the Hunter"",""World's Greatest Hunter"",""the Grim Hunter""]"
Krypto,396-krypto,9,80,100,90,82,40,"[""0'25"",""64 cm""]","[""40 lb"",""18 kg""]",Blue,White,Male,Kryptonian,-,Krypto the Superdog,No alter egos found.,"Adventure Comics #210 (March, 1955)","[""-""]"
Kyle Rayner,397-kyle-rayner,69,90,50,60,100,60,"[""5'11"",""180 cm""]","[""175 lb"",""79 kg""]",Green,Black,Male,Human,"Green Lantern, Adventurer, Artist",Kyle Rayner,No alter egos found.,Green Lantern Vol 3 #48,"[""Ion"",""Kyle Vasquez"",""Parallax"",""Torch Bearer"",""Honor Guard"",""The Last Green Lantern""]"
Kylo Ren,398-kylo-ren,56,44,33,30,100,70,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,-,Ben Solo,No alter egos found.,Star Wars: Episode VII - The Force Awakens (2015),"[""-""]"
Lady Deathstrike,400-lady-deathstrike,63,28,42,85,48,90,"[""5'9"",""175 cm""]","[""128 lb"",""58 kg""]",Brown,Black,Female,Cyborg,-,Yuriko Oyama,No alter egos found.,Alpha Flight Vol. 1 #33 (1985),"[""Ana Cortes""]"
Leader,401-leader,100,10,12,14,59,42,"[""5'10"",""178 cm""]","[""140 lb"",""63 kg""]",Green,No Hair,Male,,-,Samuel Sterns,No alter egos found.,-,"[""-""]"
Leech,402-leech,25,5,12,14,62,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,"Survivor, former student",,No alter egos found.,Uncanny X-Men #179,"[""-""]"
Legion,403-legion,50,100,42,30,100,75,"[""5'9"",""175 cm""]","[""130 lb"",""59 kg""]",Green / Blue,Black,Male,Mutant,"Adventurer, Student",David Haller,No alter egos found.,"New Mutants #25 (March, 1985)","[""Jack Wayne"",""Cyndi"",""Jemail Karami"",""Daniel Lucas Haller"",""Daniel Haller"",""Rodney"",""Ian"",""Lucas"",""Fanya"",""Boris"",""Zachary"",""Sylvester"",""God-Mutant""]"
Leonardo,404-leonardo,75,16,50,65,59,80,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,No Hair,Male,Mutant,Ninja,Leonardo,No alter egos found.,Teenage Mutant Ninja Turtles #1,"[""Leo"",""Ghost of the Jungle"",""Splinter Jr.""]"
Lex Luthor,405-lex-luthor,100,53,25,65,68,70,"[""6'2'"",""188 cm""]","[""210 lb"",""95 kg""]",Green,No Hair,Male,Human,Owner of LexCorp,Lex Luthor,No alter egos found.,Action Comics #23,"[""-""]"
Light Lass,406-light-lass,38,10,35,28,67,42,"[""5'5"",""165 cm""]","[""120 lb"",""54 kg""]",Blue,Red,Female,,-,Ayla Ranzz,No alter egos found.,Teen Titans/Legion Special #1,"[""-""]"
Lightning Lad,407-lightning-lad,38,10,23,28,60,42,"[""5'1"",""155 cm""]","[""145 lb"",""65 kg""]",Blue,Red,Male,,Legionnaire,Garth Ranzz,No alter egos found.,Teen Titans/Legion Special #1,"[""Lightning Boy"",""Live Wire""]"
Lightning Lord,408-lightning-lord,44,10,23,42,66,42,"[""6'3"",""191 cm""]","[""210 lb"",""95 kg""]",Blue,Red,Male,,-,Mekt Ranzz,No alter egos found.,Supergirl and the Legion of Super-Heroes #25 (Feb. 2007),"[""-""]"
Living Brain,409-living-brain,75,53,35,56,31,28,"[""6'6"",""198 cm""]","[""800 lb"",""360 kg""]",Yellow,-,-,,Robot,,No alter egos found.,Amazing Spider-Man #8 (1964),"[""-""]"
Living Tribunal,410-living-tribunal,100,100,100,100,100,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,No Hair,-,Cosmic Entity,-,,No alter egos found.,Strange Tales #157,"[""Living Trinity"",""Magistrate"",""High Judge of The Multiverse"",""Sir""]"
Lizard,412-lizard,50,51,27,70,63,56,"[""6'8"",""203 cm""]","[""510 lb"",""230 kg""]",Red,No Hair,Male,Human,Research biologist,Curtis Connors,No alter egos found.,Amazing Spider-Man #6,"[""-""]"
Lobo,413-lobo,94,100,54,100,100,85,"[""7'6"",""229 cm""]","[""640 lb"",""288 kg""]",Red,Black,Male,Czarnian,"Assassin, Bounty Hunter, Priest",Lobo,No alter egos found.,Omega Men # 3,"[""The Main Man"",""The 'Bo"",""Master Frag"",""Mister Machete"",""Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It""]"
Loki,414-loki,88,63,46,85,100,60,"[""6'4"",""193 cm""]","[""525 lb"",""236 kg""]",Green,Black,Male,Asgardian,God of evil; former god of mischief and madness,Loki Laufeyson,No alter egos found.,Journey into Mystery Vol. 1 #85,"[""God of Mischief"",""Gem-Keeper"",""Walter Lawson"",""Lester"",""Loren Olsen"",""Tyfon"",""Father Williams"",""Willie"",""Tso Zhung; has also impersonated hundreds of others.""]"
Longshot,415-longshot,50,10,27,10,71,70,"[""6'2"",""188 cm""]","[""80 lb"",""36 kg""]",Blue,Blond,Male,Human,"freedom fighter, stuntman rebel, adventurer",,No alter egos found.,"Longshot #1 (September, 1985)","[""The Lost Messiah"",""The Lucky One""]"
Luke Cage,416-luke-cage,50,63,29,95,44,70,"[""6'6"",""198 cm""]","[""425 lb"",""191 kg""]",Brown,Black,Male,Human,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",Luke Cage,Power Man,Hero for Hire #1 (1972),"[""Carl Lucas"",""Power Man"",""Mark Lucas"",""Hero for Hire"",""Ace of Spades""]"
Luke Skywalker,418-luke-skywalker,69,38,42,25,100,100,"[""5'6"",""168 cm""]","[""170 lb"",""77 kg""]",Blue,Blond,Male,Human,-,Luke Skywalker,No alter egos found.,Star Wars: Episode IV - A New Hope (1977),"[""General Skywalker"",""Master Luke"",""Jedi""]"
Luna,419-luna,38,6,83,14,53,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Human,-,Luna Maximoff,No alter egos found.,-,"[""-""]"
Mach-IV,421-mach-iv,75,36,60,84,60,56,"[""5'11"",""180 cm""]","[""175 lb"",""79 kg""]",Brown,Brown,Male,,"Adventurer; former master mechanic, professional criminal, mercenary",Abner Jenkins,No alter egos found.,(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005),"[""Beetle"",""MACH-I"",""MACH-II"",""MACH-III"",""Matthew""]"
Machine Man,422-machine-man,63,32,35,84,51,64,"[""6'"",""183 cm""]","[""850 lb"",""383 kg""]",Red,Black,-,,Insurance Investigator,"X-51, Aaron Stack",No alter egos found.,First appearance unknown,"[""Sir McHinery"",""Mister Machine.Machine Man""]"
Magneto,423-magneto,88,80,27,84,91,80,"[""6'2"",""188 cm""]","[""190 lb"",""86 kg""]",Grey,White,Male,Mutant,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent",Erik Magnus Lensherr,No alter egos found.,X-MEN Vol. 1 #1,"[""The Creator"",""Erik Magnus Lehnsherr"",""Michael Xavier"",""White Pilgrim"",""Erik the RedThe Master of Magnetism""]"
Magog,424-magog,50,48,23,64,66,72,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,,-,David Reid,No alter egos found.,-,"[""-""]"
Magus,425-magus,88,100,70,99,100,74,"[""6'0"",""183 cm""]","[""- lb"",""0 kg""]",Black,-,Male,,Ruler of the Technarchy,,No alter egos found.,New Mutants #18 (1984),"[""Warlock's Father""]"
Man of Miracles,426-man-of-miracles,100,100,100,100,100,100,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Silver,-,God / Eternal,-,,No alter egos found.,Spawn #75,"[""Mother Of Existence""]"
Man-Bat,427-man-bat,38,18,50,70,33,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Brown,Male,Human,Zoologist,Robert Kirkland Langstrom,No alter egos found.,"Detective Comics #400 (June, 1970)","[""Kirk Langstrom""]"
Man-Thing,428-man-thing,50,32,8,100,100,40,"[""7'0"",""213 cm""]","[""500 lb"",""225 kg""]",Red,No Hair,Male,,-,Dr. Theodore Sallis,No alter egos found.,"Savage Tales #1 (May, 1971)","[""the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap""]"
Man-Wolf,429-man-wolf,63,44,35,42,45,70,"[""6'2'"",""188 cm""]","[""200 lb"",""90 kg""]",Brown,Auburn,Male,,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",John Jameson,No alter egos found.,"AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124","[""Stargod"",""Vanwolf"",""Skywolf""]"
Mandarin,430-mandarin,100,28,23,28,100,95,"[""6'2"",""188 cm""]","[""215 lb"",""97 kg""]",Blue,White,Male,Human,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Khan,No alter egos found.,"Tales of Suspense #50 (February, 1964)","[""Tem Borjigin"",""Gene Kahn"",""Master Khan"",""Zhang Tong"",""Mandy""]"
Mantis,431-mantis,63,8,33,80,100,80,"[""5'6"",""168 cm""]","[""115 lb"",""52 kg""]",Green,Black,Female,Human-Kree,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",,No alter egos found.,Avengers #112,"[""Celestial Madonna"",""Willow"",""Lorelei"",""Mandy Celestine"",""This One (in referring to herself)""]"
Martian Manhunter,432-martian-manhunter,100,95,92,100,100,85,"[""6'7"",""201 cm""]","[""300 lb"",""135 kg""]",Red,No Hair,Male,Martian,-,J'onn J'onzz,No alter egos found.,Detective Comics #225 (1955),"[""ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith"",""Bloodwynd"",""many others""]"
Marvel Girl,433-marvel-girl,63,85,47,42,100,80,"[""5'7'"",""170 cm""]","[""125 lb"",""56 kg""]",Green,Red,Female,,Adventurer,Rachel Anne Summers,No alter egos found.,UNCANNY X-MEN #141,"[""Rachel Grey"",""formerly Phoenix"",""Mother Askani"",""Bright Lady"",""Aly'zrn Summerset""]"
Master Chief,435-master-chief,75,73,35,80,69,100,"[""7'"",""213 cm""]","[""- lb"",""0 kg""]",Brown,Brown,Male,Human / Altered,Master Chief Petty Officer of the Navy,John-117,No alter egos found.,-,"[""Blue 1"",""Sierra 117"",""Spartan 117"",""Demon""]"
Match,436-match,75,95,83,85,100,70,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,Black,Male,,-,Kent Connor,No alter egos found.,"Superboy Vol 4 #35 (January, 1997)","[""Superboy"",""Superman""]"
Matt Parkman,437-matt-parkman,63,10,12,14,59,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,NYPD detective,Matthew Parkman,No alter egos found.,Heroes S01E02 - Don't Look Back,"[""-""]"
Maverick,438-maverick,63,10,12,42,60,85,"[""6'4"",""193 cm""]","[""244 lb"",""110 kg""]",Blue,Black,Male,,"Mercenary; former adventurer, student",Christopher Bradley,No alter egos found.,X-Men Unlimited #8 (1995),"[""Chris"",""Bolt""]"
Maxima,439-maxima,75,90,35,56,81,75,"[""5'11"",""180 cm""]","[""160 lb"",""72 kg""]",Brown,Red,Female,,"Adventurer, Queen of the Almerac Empire",,No alter egos found.,-,"[""Queen Maxima"",""Empress of the Almeracian Empire""]"
Maya Herrera,440-maya-herrera,50,10,12,14,60,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,,-,Maya Herrera,No alter egos found.,-,"[""-""]"
Medusa,441-medusa,75,34,35,70,37,56,"[""5'11"",""180 cm""]","[""130 lb"",""59 kg""]",Green,Red,Female,Inhuman,"Queen, Royal interpreter",Medusalith Amaquelin Boltagon,No alter egos found.,Fantastic Four Vol. 1 #36 (1965),"[""Madam Medusa"",""Queen Medusa""]"
Meltdown,442-meltdown,38,10,12,42,62,64,"[""5'5"",""165 cm""]","[""120 lb"",""54 kg""]",Blue,Blond,Female,,"Adventurer, former student, thief",Tabitha Smith,Boom-Boom,-,"[""Boom-Boom"",""Boomer"",""Meltdown"",""Mutate #35"",""Time Bomb"",""Nancy Forrester""]"
Mephisto,443-mephisto,88,85,35,95,100,42,"[""6'6"",""198 cm""]","[""310 lb"",""140 kg""]",White,Black,Male,,Lord of a realm of Hell,,No alter egos found.,-,"[""Satan; Mephistopheles"",""Lord of Evil"",""Prince of Devils"",""Prince of Lies"",""Lord of the Lower Depths"",""Satan"",""Beelzebub"",""the Devil"",""Maya"",""Lucifer"",""Nick Scratch"",""the Friend"",""Legion"",""numerous others; impersonated Don Blake"",""many others""]"
Mera,444-mera,56,62,79,60,92,80,"[""5'9"",""175 cm""]","[""160 lb"",""72 kg""]",Blue,Red,Female,Atlantean,Former queen of Atlantis; Former queen of Dimension Aqua,Mera,No alter egos found.,"Aquaman #11 (October, 1963)","[""Queen of Atlantis"",""Aquawoman"",""Aquagirl"",""Water-Woman""]"
Metallo,445-metallo,75,53,23,95,86,64,"[""6'5"",""196 cm""]","[""200 lb"",""90 kg""]",Green,Brown,Male,Android,Professional criminal,John Corben,No alter egos found.,"Superman Vol 2 #1 (January, 1987)","[""-""]"
Metron,448-metron,88,10,47,56,100,28,"[""6'1"",""185 cm""]","[""190 lb"",""86 kg""]",Blue,Black,Male,,"Scientist, seeker of knowledge",Metron,No alter egos found.,"New Gods vol. 1 #1 (February-March, 1971)","[""-""]"
Micah Sanders,449-micah-sanders,63,8,12,14,57,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,,Elementary school student,Micah Sanders,No alter egos found.,-,"[""MicahSanders500""]"
Michelangelo,450-michelangelo,63,14,50,65,59,75,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,-,Male,Mutant,-,,No alter egos found.,-,"[""Mike"",""Mikey"",""Mikester"",""Michaelangelo""]"
Micro Lad,451-micro-lad,38,28,27,28,44,32,"[""6'"",""183 cm""]","[""170 lb"",""77 kg""]",Grey,Brown,Male,,-,Gim Allon,No alter egos found.,Teen Titans/Legion Special #1 (2004),"[""Colossal Boy (mostly known as Colossal Boy"",""although he dislikes that name himself)""]"
Mimic,452-mimic,63,67,47,56,79,42,"[""6'2"",""188 cm""]","[""225 lb"",""101 kg""]",Brown,Brown,Male,,-,Calvin Montgomery Rankin,No alter egos found.,Uncanny X-Men #19,"[""Cal"",""Wolverine"",""Calvin Rankin""]"
Misfit,454-misfit,63,32,23,80,91,42,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Red,Female,,-,Charlotte Gage-Radcliffe,Batgirl V,Birds of Prey #96,"[""Batgirl""]"
Miss Martian,455-miss-martian,63,85,58,100,100,45,"[""5'10"",""178 cm""]","[""135 lb"",""61 kg""]",Red,Red,Female,,Adventurer,M'gann M'orzz,No alter egos found.,"Teen Titans Vol 3 #37 (August, 2006)","[""Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias)"",""Star-Spangled Kid""]"
Mister Fantastic,456-mister-fantastic,100,10,18,70,33,64,"[""6'1"",""185 cm""]","[""180 lb"",""81 kg""]",Brown,Brown,Male,Human / Radiation,"Scientist, adventurer",Reed Richards,No alter egos found.,FANTASTIC FOUR #1,"[""Mr Fantastic""]"
Mister Freeze,457-mister-freeze,75,32,12,70,37,28,"[""6'0"",""183 cm""]","[""190 lb"",""86 kg""]",-,-,Male,Human,-,Victor Fries,No alter egos found.,Batman #121 (Feb. 1959),"[""Mister Zero"",""Doctor Zero"",""Doctor Schimmell""]"
Mister Knife,458-mister-knife,75,10,17,30,13,65,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Brown,Male,Spartoi,"Crimelord; former emperor, prince",J'son,No alter egos found.,"Inhumans Vol 3 #2 (July, 2000)","[""Jason of Spartax"",""Jason of Sparta"",""Star-Lord"",""Mr Knife""]"
Mister Mxyzptlk,459-mister-mxyzptlk,100,85,100,100,100,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,God / Eternal,-,Mr. Mxyzptlk,No alter egos found.,Superman #30,"[""-""]"
Mister Sinister,460-mister-sinister,100,48,46,90,100,50,"[""6'5"",""196 cm""]","[""285 lb"",""128 kg""]",Red,Black,Male,Human / Altered,"Geneticist, Criminal, biologist and mutant-supremacist",Nathaniel Essex,No alter egos found.,"Uncanny X-Men #221 (September, 1987)","[""Sinister"",""Robert Windsor"",""Arnold Bocklin"",""Mike Milbury"",""Apocalypse"",""Steven Shaffran"",""Edmond Atkinson"",""Nate"",""Administrator Pearson"",""Nosferatu"",""Nathan Milbury"",""Pale Man""]"
Mister Zsasz,461-mister-zsasz,88,22,33,28,18,85,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,Human,Serial Killer,Victor Zsasz,No alter egos found.,-,"[""Mr Zsasz""]"
Mockingbird,462-mockingbird,75,31,38,20,48,95,"[""5'9"",""175 cm""]","[""135 lb"",""61 kg""]",Blue,Blond,Female,Human,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist",Barbara Morse,No alter egos found.,"Astonishing Tales #6 (June, 1971)","[""Barbara Morse-Barton"",""Roberta Morse"",""Agent 19"",""Huntress"",""Bobbi Van Dyne; once posed as Shooting Star""]"
MODOK,463-modok,100,18,25,25,79,15,"[""12'0"",""366 cm""]","[""750 lb"",""338 kg""]",White,Brownn,Male,Cyborg,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",George Tarleton,No alter egos found.,Tales of Suspense #93,"[""M.O.D.O.K."",""Mental Organism Designed Only for Killing""]"
Molten Man,467-molten-man,50,73,23,84,53,56,"[""6'5"",""196 cm""]","[""550 lb"",""248 kg""]",Gold,Gold,Male,,"Security guard for Osborn industries, former criminal, lab assistant",Mark Raxton,No alter egos found.,Amazing Spider-Man #28 (1965),"[""-""]"
Monica Dawson,469-monica-dawson,50,10,35,14,48,90,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,,Fast food service,Monica Dawson,No alter egos found.,Heroes S02E04 - The Kindness of Strangers,"[""-""]"
Moon Knight,470-moon-knight,50,36,23,42,28,75,"[""6'2"",""188 cm""]","[""225 lb"",""101 kg""]",Brown,Brown,Male,Human,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver",Marc Spector,No alter egos found.,"Werewolf by Night #32 (August, 1975)","[""Jake Lockley"",""Steven Grant"",""Yitzak Topol"",""Fist of Khonshu"",""Crescent Crusader"",""Lunar Legionnaire""]"
Moonstone,471-moonstone,56,67,47,52,74,80,"[""5'11"",""180 cm""]","[""130 lb"",""59 kg""]",Blue,Blond,Female,,"former Adventurer, Psychiatrist",Karla Sofen,No alter egos found.,"Captain America Vol. 1 #192 (December, 1975)","[""Meteorite"","" Kate Sorenson""]"
Morlun,472-morlun,63,60,35,42,74,56,"[""6'2"",""188 cm""]","[""175 lb"",""79 kg""]",White / Red,Black,Male,,-,Morlun,No alter egos found.,Amazing Spider-Man #30 (2001),"[""-""]"
Moses Magnum,474-moses-magnum,75,28,12,42,55,56,"[""5'9"",""175 cm""]","[""159 lb"",""72 kg""]",Brown,Black,Male,,"Terrorist, president of Magnum Munitions; former ruler of Canaan",Moses Magnum,No alter egos found.,Giant-Size Spider-Man #4 (1975),"[""Magnum Force,""]"
Mr Immortal,475-mr-immortal,50,10,8,100,69,30,"[""6'2"",""188 cm""]","[""156 lb"",""70 kg""]",Blue,Blond,Male,Mutant,-,Craig Hollis,No alter egos found.,West Coast Avengers Vol 2 #46,"[""-""]"
Mr Incredible,476-mr-incredible,50,83,33,95,29,40,"[""6'7"",""201 cm""]","[""350 lb"",""158 kg""]",Blue,Blond,Male,Human,-,Robert Parr,No alter egos found.,"The Incredibles (Movies, 2004)","[""Mr. I"",""The Hero's Hero"",""Bob Parr""]"
Ms Marvel II,477-ms-marvel-ii,38,63,23,84,11,56,"[""5'8"",""173 cm""]","[""135 lb"",""61 kg""]",Blue,Red,Female,,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",Sharon Ventura,She-Thing,-,"[""She-Thing""]"
Multiple Man,478-multiple-man,63,11,23,70,28,62,"[""5'11'"",""180 cm""]","[""155 lb"",""70 kg""]",Blue,Brown,Male,,"Private investigator (formerly) Farmer, Adventurer",James Arthur,No alter egos found.,GIANT-SIZE FANTASTIC FOUR #4,"[""-""]"
Mysterio,479-mysterio,81,10,17,40,82,70,"[""5'11"",""180 cm""]","[""175 lb"",""79 kg""]",Brown,No Hair,Male,Human,Criminal; former Hollywood special effects designer and stunt man,Quentin Beck,No alter egos found.,Amazing Spider-Man #13 (1964),"[""Nicholas Macabes"",""Rudolph Hines"",""Gerdes"",""Doctor Ludwig Rinehart""]"
Mystique,480-mystique,75,12,23,64,64,74,"[""5'10"",""178 cm""]","[""120 lb"",""54 kg""]",Yellow (without irises),Red / Orange,Female,Mutant,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team",Raven Darkholme,No alter egos found.,"(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18","[""Mallory Brickman""]"
Namor,481-namor,69,95,58,70,73,85,"[""6'2"",""188 cm""]","[""278 lb"",""125 kg""]",Grey,Black,Male,Atlantean,"King of Atlantis, Adventurer; former warrior, commando, CEO",Namor McKenzie,No alter egos found.,"Motion Picture Funnies Weekly #1 (April, 1939)","[""Imperius Rex"",""Dr. G.W. Falton"",""Sub-Mariner"",""\""Subby\"""",""Namor the First"",""Avenging Son"",""Old Man"",""Rex"",""Joe Pierre"",""Lord of the Seven Seas"",""the Scion of the Deep"",""Phoenix""]"
Namora,483-namora,50,85,42,42,48,64,"[""5'11"",""180 cm""]","[""189 lb"",""85 kg""]",Blue,Blond,Female,,-,Aquaria Nautica Neptunia,No alter egos found.,Marvel Mystery Comics #82 (1947),"[""Sub-Mariner"",""Avenging Daughter"",""the Sea Beauty""]"
Namorita,484-namorita,50,72,47,70,37,70,"[""5'6"",""168 cm""]","[""225 lb"",""101 kg""]",Blue,Blond,Female,,"Superhero, formerly Leader of Atlantis",Namorita Prentiss,No alter egos found.,SUB-MARINER Vol. 2 #50 (1972),"[""Kymaera"",""Hard""]"
Naruto Uzumaki,485-naruto-uzumaki,50,80,32,80,100,100,"[""5'6"",""168 cm""]","[""121 lb"",""54 kg""]",-,-,Male,Human,-,,No alter egos found.,-,"[""-""]"
Nebula,487-nebula,63,52,13,50,42,60,"[""6'1"",""185 cm""]","[""185 lb"",""83 kg""]",Blue,No Hair,Female,Luphomoid,-,,No alter egos found.,"Avengers #257 (July, 1985)","[""-""]"
Negasonic Teenage Warhead,488-negasonic-teenage-warhead,50,7,8,10,45,35,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,Black,Female,Mutant,-,Ellie Phimister,No alter egos found.,New X-Men #115,"[""Warhead""]"
Nick Fury,489-nick-fury,75,11,23,42,25,100,"[""6'1"",""185 cm""]","[""221 lb"",""99 kg""]",Brown,Brown / White,Male,Human,"S.H.I.E.L.D. director; former S.H.I.E.L.D. agent, intelligence agent, soldier and commando leader, parachuting instructor, stunt flyer",Nicholas Joseph Fury,No alter egos found.,Sgt. Fury and His Howling Commandos #1 (1963),"[""Doyle"",""The Mystery in the Mask"",""Patch"",""Scorpio""]"
Nightcrawler,490-nightcrawler,50,10,47,14,76,80,"[""5'9'"",""175 cm""]","[""195 lb"",""88 kg""]",Yellow,Indigo,Male,,"Adventurer, Teacher",Kurt Wagner,No alter egos found.,GIANT-SIZE X-MEN #1,"[""-""]"
Nightwing,491-nightwing,88,11,33,28,36,100,"[""5'10"",""178 cm""]","[""175 lb"",""79 kg""]",Blue,Black,Male,Human,"Vigilante and detective, former police officer, former Circus Acrobat",Dick Grayson,"Batman II, Robin","as Dick Grayson and Robin) Detective Comics #38, (as Nightwing) Tales of the Teen Titans #44, (as Batman) Batman #512","[""Freddie Dinardo"",""Freddy Loyd"",""The Target"",""Renegade"",""The Worlds Greatest Acrobat"",""The Aerial Avenger"",""Pixie Boots"",""The Boy / Teen Wonder"",""The Worlds Greatest Detective"",""The Caped Crusader""]"
Niki Sanders,492-niki-sanders,63,52,35,28,37,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Female,,Former casino worker and online webcam operator; currently an agent of the Company,Nicole Sanders,No alter egos found.,Heroes S01E01 - Genesis,"[""Jessica"",""Gina""]"
Nina Theroux,493-nina-theroux,63,5,8,10,68,20,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Alpha,-,,No alter egos found.,-,"[""-""]"
Northstar,495-northstar,50,18,83,56,65,70,"[""5'11"",""180 cm""]","[""185 lb"",""83 kg""]",Blue,Black,Male,,"Former terrorist, adventurer, teacher, businessman, novelist, professional skier, trapeze artist, thief",Jean-Paul Beaubier,No alter egos found.,X-Men #120 (1979),"[""Jean-Paul Martin""]"
Nova,496-nova,100,85,75,100,100,80,"[""6'1"",""185 cm""]","[""190 lb"",""86 kg""]",Brown,Brown,Male,Human,"Superhero, also works parttime at Marvel Burger",Richard Rider,No alter egos found.,"NOVA Vol. 1 #1 (September, 1976)","[""Rich"",""Bucket-Head"",""Human Rocket"",""Kid Nova"","""",""Nova Prime"",""Quasar""]"
Nova,497-nova,63,60,100,100,100,35,"[""5'4"",""163 cm""]","[""130 lb"",""59 kg""]",White,Red,Female,Human / Cosmic,-,Frankie Raye,No alter egos found.,"Fantastic Four #164 (November, 1975)","[""Frances Hyatt"",""Human Torch""]"
